Q2,Ep
2.870522,4.438448
2.641589,2.738553
2.916428,4.412620
2.680964,1.597653
1.821230,1.086814
1.638023,2.290987
1.545545,5.338438
1.565684,2.710910
1.630223,3.093647
3.355870,2.895709
1.615350,1.451026
2.112418,5.138181
1.273809,3.664336
1.505744,1.056547
1.568378,4.217291
2.818585,4.309435
2.245086,2.116940
1.618582,2.666238
1.279293,1.922920
2.006975,1.700503
1.340026,0.939874
1.901162,1.196228
2.041657,3.096922
2.188552,5.066668
4.070068,4.224646
3.236619,2.574129
1.563820,3.805316
4.468384,1.270907
2.293848,0.955666
1.692123,3.560353
2.226550,1.543701
2.215102,2.263246
1.948222,2.287477
2.808365,4.553856
1.668359,4.838644
2.175101,1.112926
2.227404,1.033240
3.247280,1.908974
1.922058,4.113739
3.787291,1.235464
1.324598,5.335718
1.420817,3.961288
1.897375,2.408583
5.655613,2.197566
1.650277,1.201297
2.265522,2.003510
2.680877,3.575703
2.705622,3.603572
1.975356,0.690179
1.850280,1.751110
1.856048,1.218372
2.028042,3.046073
2.977446,1.252330
3.111397,2.571261
1.687133,3.308963
4.842995,1.643109
4.189021,1.224703
2.751470,2.975905
2.606400,3.900008
3.583692,1.207176
2.284277,2.641719
3.508240,2.432657
1.668113,1.729921
1.862832,1.882393
2.165267,4.353077
3.132182,3.898583
3.134804,1.783556
1.495914,5.147693
2.386154,1.665450
2.899490,2.056416
1.556188,5.129596
2.542086,3.185242
2.144222,1.155680
2.903208,2.126005
1.963299,0.864646
2.265061,4.631928
1.693293,2.368859
1.951684,1.806999
2.029817,4.861761
2.322906,1.435078
2.827966,1.193567
2.159934,3.665724
2.538773,4.190925
2.022673,4.402795
4.988584,3.660390
2.779510,2.001003
1.865361,2.252450
3.631908,2.230432
2.142832,1.183797
2.505372,1.341857
2.201028,1.464797
1.572299,1.708734
1.721795,4.517265
2.097593,2.790202
2.092072,2.366296
3.927546,1.761176
1.604866,1.992073
1.739457,2.170856
2.164936,1.847078
3.410917,0.839902
1.624906,5.038304
1.788118,2.007547
1.305885,1.003256
1.610024,2.903863
3.302570,3.579796
1.822991,3.507476
2.214239,2.713899
1.908272,3.339558
1.825554,2.841098
4.181499,3.056584
2.165987,2.818997
4.085363,1.435837
2.354330,3.249622
2.208945,3.930882
1.984739,5.254191
2.522521,4.529932
2.714520,1.891294
3.006101,4.406762
1.871886,4.995260
2.999307,1.408060
1.724886,1.905625
2.878769,3.722441
2.657937,3.974483
1.234757,3.109223
2.085353,1.340211
4.816252,3.806021
4.187796,1.183238
2.626551,4.528291
2.365072,1.639628
1.961743,1.411324
2.853237,2.972099
2.038986,1.887839
1.905613,2.111347
1.092735,2.271680
5.299803,1.440269
2.811109,2.424634
1.612749,4.306806
1.331651,3.541045
1.726629,4.972752
1.530149,5.548425
1.988845,1.633722
2.818895,1.566505
1.664936,2.655538
4.072023,1.467863
1.778651,1.903300
2.181517,1.243656
2.179202,3.741118
1.848568,4.264576
2.148249,1.657840
4.203883,3.752799
2.346408,0.922615
3.746200,3.317547
1.309770,0.954292
1.949531,5.151668
4.233146,1.361446
3.670175,1.284219
3.747971,3.271025
2.130911,1.621157
5.393830,3.437844
1.682159,2.266561
2.552383,2.387869
1.598092,1.956346
6.196082,2.755988
2.045275,1.239232
3.380376,2.030192
1.624789,5.301579
1.809155,5.397930
2.497053,4.014241
2.311169,1.406439
2.464543,4.424577
4.563717,3.769054
2.091311,4.135441
3.277960,3.934649
1.579697,3.678051
1.883840,5.048910
4.818179,3.483052
1.942821,2.048228
2.248833,2.211791
1.347486,1.667822
3.404638,1.313857
3.515236,1.167580
1.566753,5.150104
1.859358,1.156832
1.628548,1.839582
2.316776,3.002823
2.757925,4.143879
3.479791,2.351665
1.831407,1.400903
4.015971,3.189678
2.377579,2.371247
1.720770,3.910319
3.144350,3.138992
2.055025,4.214572
2.866895,1.621185
1.469242,2.872885
3.478490,2.763068
1.584549,1.230047
1.572937,3.585113
1.934529,4.792638
2.166718,2.491987
1.414697,4.071046
1.414634,2.862578
1.367108,1.364127
1.602155,1.454735
2.876759,1.565852
1.687375,0.815765
1.514159,3.000252
4.013720,2.427746
1.664127,3.837548
2.229829,0.984651
2.750557,4.449508
1.863707,4.206245
3.798548,1.223411
1.650228,4.555706
1.618747,1.001743
1.837344,4.382175
3.257144,1.001457
1.542556,5.344224
2.273067,0.721181
2.189356,4.340331
2.322697,3.000276
1.873723,1.741471
1.470042,4.527564
2.436747,1.430701
1.563573,1.257260
1.511181,1.687574
3.987280,2.968418
1.653452,3.817516
3.031880,0.982307
2.221434,1.855983
1.442165,2.126571
1.752092,4.155517
2.098705,3.926552
1.678896,1.870098
4.804317,1.134925
2.232823,2.890897
3.009392,1.094105
3.395221,1.530146
1.472693,2.294363
1.704305,1.749292
4.365179,1.942413
1.432818,5.124551
3.739059,2.512114
1.857890,2.219658
2.849133,1.049426
1.575667,3.529886
2.053988,1.852602
2.243773,4.787212
4.730043,1.627078
1.670562,1.516862
4.113895,3.887199
2.047480,1.990432
2.155389,5.191697
2.643016,2.818980
1.936789,1.097323
1.245545,2.165334
4.019893,2.165110
1.956913,4.668901
2.410401,5.113860
2.138452,1.299379
1.956798,1.142799
